order,notebook,stage,model,resolution,epochs,batch_size,gradient_accumulation_steps,effective_batch_size,training_data,rare_class_oversampling,purpose,local_validation_map_50_95,local_validation_status,hidden_test_map_50_95,submission_status,outcome
1,01_yolo11_baseline.ipynb,Initial baseline,YOLO11s,1280,8,8,,8,official training keyframes,no,"Initial clean training, validation, inference, and submission pipeline.",0.3832,held-out validation at the time of the run,,Submission artifact created,Established the first end-to-end baseline and exposed hoverfly as the weakest class.
2,02_yolo26s_baseline.ipynb,Longer YOLO baseline,YOLO26s,1536,64 configured; early-stopped,4,,4,official training keyframes,no,Longer barebones fine-tune to test whether additional training improved generalization.,0.3928,held-out validation at the time of the run,,Submission artifact created,"Best checkpoint occurred around epoch 25, showing that longer training alone was not solving the problem."
3,03_yolo26s_hoverfly_crops_24ep.ipynb,Class-focused augmentation,YOLO26s,1536,24,4,,4,official train + validation keyframes,yes,"Rare-class oversampling plus 3,506 hoverfly-centered crop images.",0.3721,seen/leaked validation after train+validation merge,,Submission artifact created,"Magnifying hoverflies did not improve hoverfly AP, supporting the conclusion that the issue was discrimination rather than scale alone."
4,04_yolo26s_tile_hardneg_training.ipynb,Tile and hard-negative training,YOLO26s,1280,32,4,,4,official train + validation keyframes with generated tiles/crops,targeted crops,"SAHI-style tiles, rare-class crops, and mined hard-negative clutter regions.",full frame 0.345; SAHI 0.173; combined 0.162,seen/leaked validation after train+validation merge,,Submission artifact created,"The run produced only 523 useful hard negatives rather than the 3,000 target, and sliced inference increased false positives."
5,05_yolo26m_trainval.ipynb,YOLO final fit,YOLO26m,1536,32,2,,2,official train + validation keyframes,yes,Full-frame train+validation final fit with rare-class image oversampling.,0.837,seen/leaked validation produced during training,,Submitted,One of the strongest YOLO-family submissions; the report records the YOLO range as approximately 0.368–0.369.
6,06_yolo26m_sliced700_finetune.ipynb,Slice-specialized YOLO,YOLO26m,704,12,8,,8,official train + validation keyframes,yes,"Model B fine-tuned on 700×700 slices with 20% overlap, initialized from the full-frame model.",0.797,seen/leaked sliced validation produced during training,,Model B export created,Used as the complementary sliced detector in the A+B ensemble.
7,07_yolo26m_ab_ensemble.ipynb,YOLO ensemble,YOLO26m A+B,,,,,,inference/fusion only,n/a,Gated full-frame and sliced ensemble using the historically selected fusion configuration.,,No validation tuning in this notebook,,Submitted,"Model A supplied all classes; Model B supplied bee, bumblebee, and moth, with hoverfly excluded."
8,08_rfdetr_small_1120_8ep.ipynb,RF-DETR proof of concept,RF-DETR Small,1120,8,2,8,16,official train + validation keyframes,yes,Eight-epoch proof of concept at 1120 resolution with train+validation oversampling.,0.7591,"leaked validation, best EMA during training",,Submission artifact created; hidden score not retained in notebook/report,Established enough upside to move from YOLO to a longer RF-DETR Large run.
9,09_rfdetr_large_1120_32ep.ipynb,RF-DETR Large baseline,RF-DETR Large,1120,32,2,8,16,official train + validation keyframes,yes,First serious 32-epoch RF-DETR Large run at 1120 resolution.,0.8740,"leaked validation, threshold sweep operating point",0.379,Submitted,Outperformed the strongest YOLO configurations on the hidden test set.
10,10_size_routed_three_model_ensemble.ipynb,Cross-model ensemble,YOLO A+B + RF-DETR Large,,,,,,inference/fusion only,n/a,"Hard-routed detections by COCO object-size bands, followed by class-aware NMS.",,Test-only fusion notebook,0.369,Submitted,Underperformed standalone RF-DETR because hard routing discarded useful detections and mixed uncalibrated scores.
11,11_rfdetr_large_1344_32ep.ipynb,Best standalone model,RF-DETR Large,1344,32,2,8,16,official train + validation keyframes,yes,Controlled resolution increase from 1120 to 1344 with the remaining setup frozen.,0.8864,"leaked validation, selected EMA checkpoint",0.404906,Submitted,Best competition result: 0.405 mAP@0.5:0.95 and 10th place out of 36.
12,12_rfdetr_large_1344_temporal_inference.ipynb,Temporal inference,RF-DETR Large + temporal post-processing,1344,,,,,inference/fusion only,n/a,"Six-frame causal tracklets using Hungarian association, score fusion, class fusion, and proposal recovery.",baseline 0.8866; strongest temporal candidate 0.8863,leaked validation,,Not submitted,Temporal post-processing did not improve the single-frame baseline and admitted more low-confidence detections.
13,13_rfdetr_large_1536_fresh_32ep.ipynb,Fresh higher-resolution run,RF-DETR Large,1536,32,2,8,16,official train + validation keyframes,yes,Fresh controlled 1536-resolution run from the pretrained initialization.,0.8892,leaked validation,,Not submitted; no submissions remained,"Likely the more promising 1536 experiment, but hidden-test performance could not be confirmed."
14,14_rfdetr_large_1344_to_1536_12ep.ipynb,Warm-start resolution adaptation,RF-DETR Large,1536,12,2,8,16,official train + validation keyframes,yes,Adaptation from the selected 1344 EMA checkpoint to 1536 for 12 epochs at half learning rate.,0.9205 (approximately 0.921),leaked validation,0.395,Submitted,"The rising leaked score did not generalize; the hidden score fell below the 1344 model, indicating overfitting."
15,15_rfdetr_large_1344_to_1536_18ep_resume.ipynb,Extended warm-start run,RF-DETR Large,1536,18 total,2,8,16,official train + validation keyframes,yes,True resume of the warm-started 1536 run from 12 to 18 total epochs.,0.9275,leaked validation,,Finished after the deadline; not submitted,"Further increased the leaked metric, but no hidden-test evaluation was available."
